"StockKeyLabel","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","StockSize","SBL","Ecoregion","FisheriesGuild"
"agn.27.nea",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"agn.27.nea",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"alf.27.nea",2020,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"alf.27.nea",2020,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"ane.27.8",2020,"MP","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"ane.27.8",2020,"MP","Precautionary approach","GREY","GREEN","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"ane.27.9a",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","pelagic"
"ane.27.9a",2021,"PA","Precautionary approach","GREY","GREEN","GREY","Bay of Biscay and the Iberian Coast Ecoregion","pelagic"
"ank.27.78abd",2021,"PA","Maximum sustainable yield","GREEN","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","benthic"
"ank.27.78abd",2021,"PA","Precautionary approach","GREEN","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","benthic"
"ank.27.8c9a",2021,"MSY","Maximum sustainable yield","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","benthic"
"ank.27.8c9a",2021,"MSY","Precautionary approach","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","benthic"
"aru.27.6b7-1012",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"aru.27.6b7-1012",2021,"PA","Precautionary approach","GREY","GREY","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"bli.27.nea",2019,"PA","Maximum sustainable yield","GREY","qual_RED","GREY","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"bli.27.nea",2019,"PA","Precautionary approach","GREY","qual_RED","GREY","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"boc.27.6-8",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"boc.27.6-8",2021,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"bsf.27.nea",2020,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"bsf.27.nea",2020,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"bsk.27.nea",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"bsk.27.nea",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"bss.27.8ab",2021,"MP","Maximum sustainable yield","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","demersal"
"bss.27.8ab",2021,"MP","Precautionary approach","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","demersal"
"bss.27.8c9a",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","demersal"
"bss.27.8c9a",2021,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","demersal"
"cyo.27.nea",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"cyo.27.nea",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"dgs.27.nea",2020,"MSY/PA","Maximum sustainable yield","GREEN","RED","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"dgs.27.nea",2020,"MSY/PA","Precautionary approach","GREEN","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"ele.2737.nea",2021,"PA","Maximum sustainable yield","GREY","qual_RED","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Baltic Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"ele.2737.nea",2021,"PA","Precautionary approach","GREY","qual_RED","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Baltic Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"gag.27.nea",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"gag.27.nea",2021,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"gfb.27.nea",2020,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"gfb.27.nea",2020,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"guq.27.nea",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"guq.27.nea",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"gur.27.3-8",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"gur.27.3-8",2021,"PA","Precautionary approach","GREY","GREY","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"hke.27.3a46-8abd",2021,"MSY","Maximum sustainable yield","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"hke.27.3a46-8abd",2021,"MSY","Precautionary approach","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"hke.27.8c9a",2020,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","demersal"
"hke.27.8c9a",2020,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","demersal"
"hom.27.2a4a5b6a7a-ce-k8",2021,"MSY","Maximum sustainable yield","GREEN","RED","RED","Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"hom.27.2a4a5b6a7a-ce-k8",2021,"MSY","Precautionary approach","GREEN","ORANGE","RED","Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"hom.27.9a",2021,"MSY","Maximum sustainable yield","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","pelagic"
"hom.27.9a",2021,"MSY","Precautionary approach","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","pelagic"
"ldb.27.7b-k8abd",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","benthic"
