FisheriesGuild,StockKeyLabel,Year,Metric,Value
crustacean,nep.fu.2324,2016,F/F[MSY],0.941558441558441
crustacean,nep.fu.2324,2017,F/F[MSY],0.938961038961039
crustacean,nep.fu.2324,2018,F/F[MSY],0.546753246753247
crustacean,nep.fu.2324,2019,F/F[MSY],0.398701298701299
crustacean,nep.fu.2324,2020,F/F[MSY],0.641558441558442
crustacean,nep.fu.25,1975,F/F[MSY],2.162
crustacean,nep.fu.25,1976,F/F[MSY],1.999
crustacean,nep.fu.25,1977,F/F[MSY],2.264
crustacean,nep.fu.25,1978,F/F[MSY],2.663
crustacean,nep.fu.25,1979,F/F[MSY],2.29
crustacean,nep.fu.25,1980,F/F[MSY],2.219
crustacean,nep.fu.25,1981,F/F[MSY],1.934
crustacean,nep.fu.25,1982,F/F[MSY],1.874
crustacean,nep.fu.25,1983,F/F[MSY],2.191
crustacean,nep.fu.25,1984,F/F[MSY],2.4
crustacean,nep.fu.25,1985,F/F[MSY],2.538
crustacean,nep.fu.25,1986,F/F[MSY],2.345
crustacean,nep.fu.25,1987,F/F[MSY],2.292
crustacean,nep.fu.25,1988,F/F[MSY],2.502
crustacean,nep.fu.25,1989,F/F[MSY],2.682
crustacean,nep.fu.25,1990,F/F[MSY],2.501
crustacean,nep.fu.25,1991,F/F[MSY],2.676
crustacean,nep.fu.25,1992,F/F[MSY],3.034
crustacean,nep.fu.25,1993,F/F[MSY],2.608
crustacean,nep.fu.25,1994,F/F[MSY],2.275
crustacean,nep.fu.25,1995,F/F[MSY],2.469
crustacean,nep.fu.25,1996,F/F[MSY],2.577
crustacean,nep.fu.25,1997,F/F[MSY],2.878
crustacean,nep.fu.25,1998,F/F[MSY],2.495
crustacean,nep.fu.25,1999,F/F[MSY],2.307
crustacean,nep.fu.25,2000,F/F[MSY],2.231
crustacean,nep.fu.25,2001,F/F[MSY],2.616
crustacean,nep.fu.25,2002,F/F[MSY],3.737
crustacean,nep.fu.25,2003,F/F[MSY],3.572
crustacean,nep.fu.25,2004,F/F[MSY],3.186
crustacean,nep.fu.25,2005,F/F[MSY],3.102
crustacean,nep.fu.25,2006,F/F[MSY],3.284
crustacean,nep.fu.25,2007,F/F[MSY],3.817
crustacean,nep.fu.25,2008,F/F[MSY],3.268
crustacean,nep.fu.25,2009,F/F[MSY],1.966
crustacean,nep.fu.25,2010,F/F[MSY],1.628
crustacean,nep.fu.25,2011,F/F[MSY],1.88
crustacean,nep.fu.25,2012,F/F[MSY],1.03
crustacean,nep.fu.25,2013,F/F[MSY],0.541
crustacean,nep.fu.25,2014,F/F[MSY],0.428
crustacean,nep.fu.25,2015,F/F[MSY],0.44
crustacean,nep.fu.25,2016,F/F[MSY],0.463
crustacean,nep.fu.25,2017,F/F[MSY],0.341
crustacean,nep.fu.25,2018,F/F[MSY],0.239
crustacean,nep.fu.25,2019,F/F[MSY],0.195
crustacean,nep.fu.25,2020,F/F[MSY],0.176
crustacean,nep.fu.25,2021,F/F[MSY],0.171
crustacean,nep.fu.25,1975,SSB/MSY~B[trigger],2.298
crustacean,nep.fu.25,1976,SSB/MSY~B[trigger],2.058
crustacean,nep.fu.25,1977,SSB/MSY~B[trigger],1.972
crustacean,nep.fu.25,1978,SSB/MSY~B[trigger],1.828
crustacean,nep.fu.25,1979,SSB/MSY~B[trigger],1.574
crustacean,nep.fu.25,1980,SSB/MSY~B[trigger],1.456
crustacean,nep.fu.25,1981,SSB/MSY~B[trigger],1.316
crustacean,nep.fu.25,1982,SSB/MSY~B[trigger],1.272
crustacean,nep.fu.25,1983,SSB/MSY~B[trigger],1.26
crustacean,nep.fu.25,1984,SSB/MSY~B[trigger],1.228
crustacean,nep.fu.25,1985,SSB/MSY~B[trigger],1.25
crustacean,nep.fu.25,1986,SSB/MSY~B[trigger],1.166
crustacean,nep.fu.25,1987,SSB/MSY~B[trigger],1.128
crustacean,nep.fu.25,1988,SSB/MSY~B[trigger],1.094
crustacean,nep.fu.25,1989,SSB/MSY~B[trigger],1.022
crustacean,nep.fu.25,1990,SSB/MSY~B[trigger],0.902
crustacean,nep.fu.25,1991,SSB/MSY~B[trigger],0.928
crustacean,nep.fu.25,1992,SSB/MSY~B[trigger],0.922
crustacean,nep.fu.25,1993,SSB/MSY~B[trigger],0.83
crustacean,nep.fu.25,1994,SSB/MSY~B[trigger],0.73
crustacean,nep.fu.25,1995,SSB/MSY~B[trigger],0.676
crustacean,nep.fu.25,1996,SSB/MSY~B[trigger],0.608
crustacean,nep.fu.25,1997,SSB/MSY~B[trigger],0.498
crustacean,nep.fu.25,1998,SSB/MSY~B[trigger],0.366
crustacean,nep.fu.25,1999,SSB/MSY~B[trigger],0.318
crustacean,nep.fu.25,2000,SSB/MSY~B[trigger],0.284
crustacean,nep.fu.25,2001,SSB/MSY~B[trigger],0.27
crustacean,nep.fu.25,2002,SSB/MSY~B[trigger],0.254
crustacean,nep.fu.25,2003,SSB/MSY~B[trigger],0.2
crustacean,nep.fu.25,2004,SSB/MSY~B[trigger],0.162
crustacean,nep.fu.25,2005,SSB/MSY~B[trigger],0.142
crustacean,nep.fu.25,2006,SSB/MSY~B[trigger],0.124
crustacean,nep.fu.25,2007,SSB/MSY~B[trigger],0.106
crustacean,nep.fu.25,2008,SSB/MSY~B[trigger],0.094
crustacean,nep.fu.25,2009,SSB/MSY~B[trigger],0.09
crustacean,nep.fu.25,2010,SSB/MSY~B[trigger],0.108
crustacean,nep.fu.25,2011,SSB/MSY~B[trigger],0.138
crustacean,nep.fu.25,2012,SSB/MSY~B[trigger],0.138
crustacean,nep.fu.25,2013,SSB/MSY~B[trigger],0.14
crustacean,nep.fu.25,2014,SSB/MSY~B[trigger],0.158
crustacean,nep.fu.25,2015,SSB/MSY~B[trigger],0.176
crustacean,nep.fu.25,2016,SSB/MSY~B[trigger],0.186
crustacean,nep.fu.25,2017,SSB/MSY~B[trigger],0.184
crustacean,nep.fu.25,2018,SSB/MSY~B[trigger],0.174
crustacean,nep.fu.25,2019,SSB/MSY~B[trigger],0.172
crustacean,nep.fu.25,2020,SSB/MSY~B[trigger],0.18
crustacean,nep.fu.25,2021,SSB/MSY~B[trigger],0.194
crustacean,nep.fu.2627,1975,F/F[MSY],1.351
crustacean,nep.fu.2627,1976,F/F[MSY],1.367
crustacean,nep.fu.2627,1977,F/F[MSY],1.358
crustacean,nep.fu.2627,1978,F/F[MSY],1.348
crustacean,nep.fu.2627,1979,F/F[MSY],1.425
crustacean,nep.fu.2627,1980,F/F[MSY],1.821
