FisheriesGuild,StockKeyLabel,Year,Metric,Value
demersal,bss.27.8ab,1985,F/F[MSY],1.1151339608979
demersal,bss.27.8ab,1986,F/F[MSY],1.17306299782766
demersal,bss.27.8ab,1987,F/F[MSY],1.16582186821144
demersal,bss.27.8ab,1988,F/F[MSY],1.12961622013034
demersal,bss.27.8ab,1989,F/F[MSY],1.1151339608979
demersal,bss.27.8ab,1990,F/F[MSY],0.984793627805938
demersal,bss.27.8ab,1991,F/F[MSY],0.999275887038378
demersal,bss.27.8ab,1992,F/F[MSY],0.992034757422158
demersal,bss.27.8ab,1993,F/F[MSY],0.955829109341057
demersal,bss.27.8ab,1994,F/F[MSY],1.0065170166546
demersal,bss.27.8ab,1995,F/F[MSY],0.992034757422158
demersal,bss.27.8ab,1996,F/F[MSY],1.01375814627082
demersal,bss.27.8ab,1997,F/F[MSY],1.04996379435192
demersal,bss.27.8ab,1998,F/F[MSY],1.04996379435192
demersal,bss.27.8ab,1999,F/F[MSY],0.984793627805938
demersal,bss.27.8ab,2000,F/F[MSY],1.0065170166546
demersal,bss.27.8ab,2001,F/F[MSY],0.941346850108617
demersal,bss.27.8ab,2002,F/F[MSY],0.941346850108617
demersal,bss.27.8ab,2003,F/F[MSY],0.984793627805938
demersal,bss.27.8ab,2004,F/F[MSY],0.919623461259957
demersal,bss.27.8ab,2005,F/F[MSY],1.02824040550326
demersal,bss.27.8ab,2006,F/F[MSY],1.04996379435192
demersal,bss.27.8ab,2007,F/F[MSY],1.01375814627082
demersal,bss.27.8ab,2008,F/F[MSY],0.999275887038378
demersal,bss.27.8ab,2009,F/F[MSY],0.883417813178856
demersal,bss.27.8ab,2010,F/F[MSY],0.883417813178856
demersal,bss.27.8ab,2011,F/F[MSY],0.977552498189718
demersal,bss.27.8ab,2012,F/F[MSY],0.992034757422158
demersal,bss.27.8ab,2013,F/F[MSY],0.941346850108617
demersal,bss.27.8ab,2014,F/F[MSY],1.0789283128168
demersal,bss.27.8ab,2015,F/F[MSY],0.919623461259957
demersal,bss.27.8ab,2016,F/F[MSY],0.912382331643736
demersal,bss.27.8ab,2017,F/F[MSY],0.897900072411296
demersal,bss.27.8ab,2018,F/F[MSY],0.876176683562636
demersal,bss.27.8ab,2019,F/F[MSY],0.832729905865315
demersal,bss.27.8ab,2020,F/F[MSY],0.803765387400434
demersal,bss.27.8ab,1985,SSB/MSY~B[trigger],1.46063039309684
demersal,bss.27.8ab,1986,SSB/MSY~B[trigger],1.4043024928092
demersal,bss.27.8ab,1987,SSB/MSY~B[trigger],1.34887344199425
demersal,bss.27.8ab,1988,SSB/MSY~B[trigger],1.30944391179291
demersal,bss.27.8ab,1989,SSB/MSY~B[trigger],1.29014860977948
demersal,bss.27.8ab,1990,SSB/MSY~B[trigger],1.28379674017258
demersal,bss.27.8ab,1991,SSB/MSY~B[trigger],1.30704697986577
demersal,bss.27.8ab,1992,SSB/MSY~B[trigger],1.3232861936721
demersal,bss.27.8ab,1993,SSB/MSY~B[trigger],1.32903883029722
demersal,bss.27.8ab,1994,SSB/MSY~B[trigger],1.32076941514861
demersal,bss.27.8ab,1995,SSB/MSY~B[trigger],1.2796021093001
demersal,bss.27.8ab,1996,SSB/MSY~B[trigger],1.22015819750719
demersal,bss.27.8ab,1997,SSB/MSY~B[trigger],1.14465484180249
demersal,bss.27.8ab,1998,SSB/MSY~B[trigger],1.06603547459252
demersal,bss.27.8ab,1999,SSB/MSY~B[trigger],1.01953499520614
demersal,bss.27.8ab,2000,SSB/MSY~B[trigger],1.0475790987536
demersal,bss.27.8ab,2001,SSB/MSY~B[trigger],1.12973394055609
demersal,bss.27.8ab,2002,SSB/MSY~B[trigger],1.21494487056568
demersal,bss.27.8ab,2003,SSB/MSY~B[trigger],1.27139261744966
demersal,bss.27.8ab,2004,SSB/MSY~B[trigger],1.29973633748802
demersal,bss.27.8ab,2005,SSB/MSY~B[trigger],1.31441754554171
demersal,bss.27.8ab,2006,SSB/MSY~B[trigger],1.29883748801534
demersal,bss.27.8ab,2007,SSB/MSY~B[trigger],1.29482262703739
demersal,bss.27.8ab,2008,SSB/MSY~B[trigger],1.30896452540748
demersal,bss.27.8ab,2009,SSB/MSY~B[trigger],1.32915867689358
demersal,bss.27.8ab,2010,SSB/MSY~B[trigger],1.34491850431448
demersal,bss.27.8ab,2011,SSB/MSY~B[trigger],1.33029721955896
demersal,bss.27.8ab,2012,SSB/MSY~B[trigger],1.28942953020134
demersal,bss.27.8ab,2013,SSB/MSY~B[trigger],1.24940076701822
demersal,bss.27.8ab,2014,SSB/MSY~B[trigger],1.20745445829338
demersal,bss.27.8ab,2015,SSB/MSY~B[trigger],1.12266299137105
demersal,bss.27.8ab,2016,SSB/MSY~B[trigger],1.07496404602109
demersal,bss.27.8ab,2017,SSB/MSY~B[trigger],1.07238734419942
demersal,bss.27.8ab,2018,SSB/MSY~B[trigger],1.10354745925216
demersal,bss.27.8ab,2019,SSB/MSY~B[trigger],1.14327660594439
demersal,bss.27.8ab,2020,SSB/MSY~B[trigger],1.15993528283797
demersal,bss.27.8ab,2021,SSB/MSY~B[trigger],1.11427372962608
demersal,hke.27.3a46-8abd,1978,F/F[MSY],2.08692307692308
demersal,hke.27.3a46-8abd,1979,F/F[MSY],2.23730769230769
demersal,hke.27.3a46-8abd,1980,F/F[MSY],2.63384615384615
demersal,hke.27.3a46-8abd,1981,F/F[MSY],2.64769230769231
demersal,hke.27.3a46-8abd,1982,F/F[MSY],2.765
demersal,hke.27.3a46-8abd,1983,F/F[MSY],2.55230769230769
demersal,hke.27.3a46-8abd,1984,F/F[MSY],2.69461538461538
demersal,hke.27.3a46-8abd,1985,F/F[MSY],3.28807692307692
demersal,hke.27.3a46-8abd,1986,F/F[MSY],3.66269230769231
demersal,hke.27.3a46-8abd,1987,F/F[MSY],4.00961538461538
demersal,hke.27.3a46-8abd,1988,F/F[MSY],4.03961538461538
demersal,hke.27.3a46-8abd,1989,F/F[MSY],4.35884615384615
demersal,hke.27.3a46-8abd,1990,F/F[MSY],4.11769230769231
demersal,hke.27.3a46-8abd,1991,F/F[MSY],3.90769230769231
demersal,hke.27.3a46-8abd,1992,F/F[MSY],4.04653846153846
demersal,hke.27.3a46-8abd,1993,F/F[MSY],4.21615384615385
demersal,hke.27.3a46-8abd,1994,F/F[MSY],4.27230769230769
demersal,hke.27.3a46-8abd,1995,F/F[MSY],4.51307692307692
demersal,hke.27.3a46-8abd,1996,F/F[MSY],3.94384615384615
demersal,hke.27.3a46-8abd,1997,F/F[MSY],4.26230769230769
demersal,hke.27.3a46-8abd,1998,F/F[MSY],3.96038461538462
demersal,hke.27.3a46-8abd,1999,F/F[MSY],3.90230769230769
demersal,hke.27.3a46-8abd,2000,F/F[MSY],3.67153846153846
demersal,hke.27.3a46-8abd,2001,F/F[MSY],3.02692307692308
demersal,hke.27.3a46-8abd,2002,F/F[MSY],3.215
demersal,hke.27.3a46-8abd,2003,F/F[MSY],3.22461538461538
demersal,hke.27.3a46-8abd,2004,F/F[MSY],3.28384615384615
demersal,hke.27.3a46-8abd,2005,F/F[MSY],3.80923076923077
demersal,hke.27.3a46-8abd,2006,F/F[MSY],3.36576923076923
