FisheriesGuild,StockKeyLabel,Year,Metric,Value
elasmobranch,dgs.27.nea,1905,SSB/MSY~B[trigger],2.35688291279458
elasmobranch,dgs.27.nea,1906,SSB/MSY~B[trigger],2.34644083016772
elasmobranch,dgs.27.nea,1907,SSB/MSY~B[trigger],2.34379707798921
elasmobranch,dgs.27.nea,1908,SSB/MSY~B[trigger],2.34246781711734
elasmobranch,dgs.27.nea,1909,SSB/MSY~B[trigger],2.34128625189789
elasmobranch,dgs.27.nea,1910,SSB/MSY~B[trigger],2.3393366692858
elasmobranch,dgs.27.nea,1911,SSB/MSY~B[trigger],2.33822895189257
elasmobranch,dgs.27.nea,1912,SSB/MSY~B[trigger],2.33667814754205
elasmobranch,dgs.27.nea,1913,SSB/MSY~B[trigger],2.3334731518843
elasmobranch,dgs.27.nea,1914,SSB/MSY~B[trigger],2.32927859535527
elasmobranch,dgs.27.nea,1915,SSB/MSY~B[trigger],2.32738809100415
elasmobranch,dgs.27.nea,1916,SSB/MSY~B[trigger],2.32574866926217
elasmobranch,dgs.27.nea,1917,SSB/MSY~B[trigger],2.32725516491697
elasmobranch,dgs.27.nea,1918,SSB/MSY~B[trigger],2.32905705187662
elasmobranch,dgs.27.nea,1919,SSB/MSY~B[trigger],2.33066693448812
elasmobranch,dgs.27.nea,1920,SSB/MSY~B[trigger],2.32908659100711
elasmobranch,dgs.27.nea,1921,SSB/MSY~B[trigger],2.32509880839148
elasmobranch,dgs.27.nea,1922,SSB/MSY~B[trigger],2.32000330838261
elasmobranch,dgs.27.nea,1923,SSB/MSY~B[trigger],2.31509981272191
elasmobranch,dgs.27.nea,1924,SSB/MSY~B[trigger],2.31015200836548
elasmobranch,dgs.27.nea,1925,SSB/MSY~B[trigger],2.30451003444263
elasmobranch,dgs.27.nea,1926,SSB/MSY~B[trigger],2.29872036486734
elasmobranch,dgs.27.nea,1927,SSB/MSY~B[trigger],2.29251714746525
elasmobranch,dgs.27.nea,1928,SSB/MSY~B[trigger],2.28513236484371
elasmobranch,dgs.27.nea,1929,SSB/MSY~B[trigger],2.27661032569845
elasmobranch,dgs.27.nea,1930,SSB/MSY~B[trigger],2.2689449213373
elasmobranch,dgs.27.nea,1931,SSB/MSY~B[trigger],2.25807452131839
elasmobranch,dgs.27.nea,1932,SSB/MSY~B[trigger],2.24800167782261
elasmobranch,dgs.27.nea,1933,SSB/MSY~B[trigger],2.23153361257658
elasmobranch,dgs.27.nea,1934,SSB/MSY~B[trigger],2.21095960819297
elasmobranch,dgs.27.nea,1935,SSB/MSY~B[trigger],2.19134562555017
elasmobranch,dgs.27.nea,1936,SSB/MSY~B[trigger],2.17016606899159
elasmobranch,dgs.27.nea,1937,SSB/MSY~B[trigger],2.15216196896028
elasmobranch,dgs.27.nea,1938,SSB/MSY~B[trigger],2.13089379501025
elasmobranch,dgs.27.nea,1939,SSB/MSY~B[trigger],2.11919629933773
elasmobranch,dgs.27.nea,1940,SSB/MSY~B[trigger],2.10551968192264
elasmobranch,dgs.27.nea,1941,SSB/MSY~B[trigger],2.10823728192737
elasmobranch,dgs.27.nea,1942,SSB/MSY~B[trigger],2.11215121671678
elasmobranch,dgs.27.nea,1943,SSB/MSY~B[trigger],2.11336232106672
elasmobranch,dgs.27.nea,1944,SSB/MSY~B[trigger],2.11822150803169
elasmobranch,dgs.27.nea,1945,SSB/MSY~B[trigger],2.12303638630093
elasmobranch,dgs.27.nea,1946,SSB/MSY~B[trigger],2.1297122297908
elasmobranch,dgs.27.nea,1947,SSB/MSY~B[trigger],2.13017008631334
elasmobranch,dgs.27.nea,1948,SSB/MSY~B[trigger],2.12188436021197
elasmobranch,dgs.27.nea,1949,SSB/MSY~B[trigger],2.11017209497421
elasmobranch,dgs.27.nea,1950,SSB/MSY~B[trigger],2.09383695581537
elasmobranch,dgs.27.nea,1951,SSB/MSY~B[trigger],2.07567039056638
elasmobranch,dgs.27.nea,1952,SSB/MSY~B[trigger],2.04297057311821
elasmobranch,dgs.27.nea,1953,SSB/MSY~B[trigger],2.003949381746
elasmobranch,dgs.27.nea,1954,SSB/MSY~B[trigger],1.96993507299119
elasmobranch,dgs.27.nea,1955,SSB/MSY~B[trigger],1.9338677946676
elasmobranch,dgs.27.nea,1956,SSB/MSY~B[trigger],1.89548169460084
elasmobranch,dgs.27.nea,1957,SSB/MSY~B[trigger],1.8528862684398
elasmobranch,dgs.27.nea,1958,SSB/MSY~B[trigger],1.81374692054565
elasmobranch,dgs.27.nea,1959,SSB/MSY~B[trigger],1.76872928568475
elasmobranch,dgs.27.nea,1960,SSB/MSY~B[trigger],1.7289400769199
elasmobranch,dgs.27.nea,1961,SSB/MSY~B[trigger],1.68030389857444
elasmobranch,dgs.27.nea,1962,SSB/MSY~B[trigger],1.62698576804693
elasmobranch,dgs.27.nea,1963,SSB/MSY~B[trigger],1.57498212882606
elasmobranch,dgs.27.nea,1964,SSB/MSY~B[trigger],1.51591863741899
elasmobranch,dgs.27.nea,1965,SSB/MSY~B[trigger],1.46020045253948
elasmobranch,dgs.27.nea,1966,SSB/MSY~B[trigger],1.42039647420939
elasmobranch,dgs.27.nea,1967,SSB/MSY~B[trigger],1.38988255241719
elasmobranch,dgs.27.nea,1968,SSB/MSY~B[trigger],1.35648856540259
elasmobranch,dgs.27.nea,1969,SSB/MSY~B[trigger],1.30458240531232
elasmobranch,dgs.27.nea,1970,SSB/MSY~B[trigger],1.25858702523233
elasmobranch,dgs.27.nea,1971,SSB/MSY~B[trigger],1.21899277472868
elasmobranch,dgs.27.nea,1972,SSB/MSY~B[trigger],1.18221360336037
