"StockKeyLabel","StockKeyDescription","SpeciesScientificName","SpeciesCommonName","FisheriesGuild.y","DataCategory","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","Ecoregion","StockSize","SBL","D3C1","D3C2","GES"
"agn.27.nea","Angel shark in subareas 1-10, 12 and 14","Squatina squatina","Angel shark","Elasmobranch","6.3",2019,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"agn.27.nea","Angel shark in subareas 1-10, 12 and 14","Squatina squatina","Angel shark","Elasmobranch","6.3",2019,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"alf.27.nea","Alfonsinos in subareas 1-10, 12 and 14","Beryx","Alfonsinos","Demersal","5.2",2020,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"alf.27.nea","Alfonsinos in subareas 1-10, 12 and 14","Beryx","Alfonsinos","Demersal","5.2",2020,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"ane.27.8","Anchovy in Subarea 8","Engraulis encrasicolus","Anchovy","Pelagic","1",2020,"MP","Maximum sustainable yield","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"ane.27.8","Anchovy in Subarea 8","Engraulis encrasicolus","Anchovy","Pelagic","1",2020,"MP","Precautionary approach","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREY","GREY","GREEN","GREY"
"ane.27.9a","Anchovy in Division 9.a","Engraulis encrasicolus","Anchovy","Pelagic","3",2021,"PA","Maximum sustainable yield","GREY","Bay of Biscay and the Iberian Coast Ecoregion","GREY","GREY","GREY","GREY","GREY"
"ane.27.9a","Anchovy in Division 9.a","Engraulis encrasicolus","Anchovy","Pelagic","3",2021,"PA","Precautionary approach","GREY","Bay of Biscay and the Iberian Coast Ecoregion","GREEN","GREY","GREY","GREEN","GREY"
"ank.27.78abd","Black-bellied anglerfish in Subarea 7 and divisions 8.a-b and 8.d","Lophius budegassa","Black-bellied anglerfish","Benthic","3.2",2021,"PA","Maximum sustainable yield","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREEN","GREY","GREY"
"ank.27.78abd","Black-bellied anglerfish in Subarea 7 and divisions 8.a-b and 8.d","Lophius budegassa","Black-bellied anglerfish","Benthic","3.2",2021,"PA","Precautionary approach","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
