WKT,csquare_area,surface_sar,subsurface_sar,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-4.25 46.75,-4.25 46.8,-4.2 46.8,-4.2 46.75,-4.25 46.75))",21.169437671766,790.357241955412,61.5160702766161,Bay of Biscay and the Iberian Coast,"22E5",7400:364:372:3,46.775,-4.225
"POLYGON ((-2.3 45.85,-2.3 45.9,-2.25 45.9,-2.25 45.85,-2.3 45.85))",21.5206091694831,1313.33412752549,157.521611296828,Bay of Biscay and the Iberian Coast,"20E7",7400:352:382:4,45.875,-2.275
"POLYGON ((-1.65 45.95,-1.65 46.0,-1.6 46.0,-1.6 45.95,-1.65 45.95))",21.4818507573732,1917.94694801457,251.012926251928,Bay of Biscay and the Iberian Coast,"20E8",7400:351:496:3,45.975,-1.625
"POLYGON ((-6.25 47.75,-6.25 47.8,-6.2 47.8,-6.2 47.75,-6.25 47.75))",20.773124901659,945.33484706772,75.4643518019932,Bay of Biscay and the Iberian Coast,"24E3",7400:476:372:3,47.775,-6.225
"POLYGON ((-3.9 46.95,-3.9 47.0,-3.85 47.0,-3.85 46.95,-3.9 46.95))",21.0906871559989,973.694450414587,89.4065656785279,Bay of Biscay and the Iberian Coast,"22E6",7400:363:498:4,46.975,-3.875
"POLYGON ((-2.05 44.45,-2.05 44.5,-2 44.5,-2 44.45,-2.05 44.45))",22.056290256211,426.286470886654,30.4990887168677,Bay of Biscay and the Iberian Coast,"17E7",7400:142:140:3,44.475,-2.025
"POLYGON ((-1.85 45.5,-1.85 45.55,-1.8 45.55,-1.8 45.5,-1.85 45.5))",21.6557465892468,1505.68939698579,171.826916783641,Bay of Biscay and the Iberian Coast,"20E8",7400:351:458:1,45.525,-1.825
"POLYGON ((-3.1 47.05,-3.1 47.1,-3.05 47.1,-3.05 47.05,-3.1 47.05))",21.0512154692583,5400.39145814984,660.46555212521,Bay of Biscay and the Iberian Coast,"23E6",7400:373:100:4,47.075,-3.075
"POLYGON ((-1.7 43.7,-1.7 43.75,-1.65 43.75,-1.65 43.7,-1.7 43.7))",22.3378656049651,314.851435009207,27.0162776451597,Bay of Biscay and the Iberian Coast,"16E8",7400:131:476:2,43.725,-1.675
"POLYGON ((-4.6 47.9,-4.6 47.95,-4.55 47.95,-4.55 47.9,-4.6 47.9))",20.7131292468321,873.839326547445,95.6410990164642,Bay of Biscay and the Iberian Coast,"24E5",7400:374:495:2,47.925,-4.575
"POLYGON ((-3.5 46.2,-3.5 46.25,-3.45 46.25,-3.45 46.2,-3.5 46.2))",21.3846686970431,638.184445713769,49.9675980251637,Bay of Biscay and the Iberian Coast,"21E6",7400:363:124:2,46.225,-3.475
"POLYGON ((-3.5 46.15,-3.5 46.2,-3.45 46.2,-3.45 46.15,-3.5 46.15))",21.4041377390889,413.190604875255,32.2164057085663,Bay of Biscay and the Iberian Coast,"21E6",7400:363:114:4,46.175,-3.475
"POLYGON ((-1.55 45.2,-1.55 45.25,-1.5 45.25,-1.5 45.2,-1.55 45.2))",21.7709356756676,585.607265787648,99.8339094881595,Bay of Biscay and the Iberian Coast,"19E8",7400:351:225:1,45.225,-1.525
"POLYGON ((-1.75 43.65,-1.75 43.7,-1.7 43.7,-1.7 43.65,-1.75 43.65))",22.3565017367251,197.049614088827,15.4048744708121,Bay of Biscay and the Iberian Coast,"16E8",7400:131:467:3,43.675,-1.725
"POLYGON ((-1.95 44.8,-1.95 44.85,-1.9 44.85,-1.9 44.8,-1.95 44.8))",21.9235921300082,745.998686412757,143.471762684509,Bay of Biscay and the Iberian Coast,"18E8",7400:141:489:1,44.825,-1.925
"POLYGON ((-2.9 46.1,-2.9 46.15,-2.85 46.15,-2.85 46.1,-2.9 46.1))",21.4235904809527,527.69381628415,58.214539056715,Bay of Biscay and the Iberian Coast,"21E7",7400:362:218:2,46.125,-2.875
"POLYGON ((-5.7 47.6,-5.7 47.65,-5.65 47.65,-5.65 47.6,-5.7 47.6))",20.8329781798137,983.706016675013,80.7401462094163,Bay of Biscay and the Iberian Coast,"24E4",7400:475:466:2,47.625,-5.675
"POLYGON ((-1.3 44.65,-1.3 44.7,-1.25 44.7,-1.25 44.65,-1.3 44.65))",21.9805632192634,1946.796758765,239.65305148672,Bay of Biscay and the Iberian Coast,"18E8",7400:141:362:4,44.675,-1.275
"POLYGON ((-3.45 46.1,-3.45 46.15,-3.4 46.15,-3.4 46.1,-3.45 46.1))",21.4235904809527,318.398582569899,24.862399527806,Bay of Biscay and the Iberian Coast,"21E6",7400:363:114:1,46.125,-3.425
